/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
SPS: 859
global_step=465464, episodic_return=[83.89846182]
global_step=466465, episodic_return=[104.11755729]
SPS: 859
global_step=467466, episodic_return=[153.42763989]
global_step=468467, episodic_return=[-35.79339218]
SPS: 859
global_step=469468, episodic_return=[-36.37058675]
global_step=470469, episodic_return=[135.23304829]
SPS: 859
global_step=471470, episodic_return=[97.2985767]
global_step=472471, episodic_return=[-13.01450145]
SPS: 859
global_step=473472, episodic_return=[164.38124978]
global_step=474473, episodic_return=[-16.60466592]
SPS: 859
global_step=475474, episodic_return=[183.39712488]
global_step=476475, episodic_return=[80.19168834]
SPS: 859
global_step=477476, episodic_return=[134.14135558]
global_step=478477, episodic_return=[40.86762655]
SPS: 859
global_step=479478, episodic_return=[-159.52335943]
global_step=480479, episodic_return=[73.31820793]
SPS: 859
global_step=481480, episodic_return=[-121.24240096]
global_step=482481, episodic_return=[105.70733347]
SPS: 859
global_step=483482, episodic_return=[70.74106013]
global_step=484483, episodic_return=[182.14247109]
SPS: 859
global_step=485484, episodic_return=[254.96020141]
global_step=486485, episodic_return=[163.86633382]
SPS: 859
global_step=487486, episodic_return=[133.39174406]
global_step=488487, episodic_return=[44.57215893]
SPS: 859
global_step=489488, episodic_return=[39.24687228]
global_step=490489, episodic_return=[93.67513466]
global_step=491490, episodic_return=[-164.49699961]
SPS: 859
global_step=492491, episodic_return=[163.82772502]
global_step=493492, episodic_return=[73.2599632]
SPS: 859
global_step=494493, episodic_return=[132.47522262]
global_step=495494, episodic_return=[152.04850514]
SPS: 859
global_step=496495, episodic_return=[33.3991215]
global_step=497496, episodic_return=[3.09385886]
SPS: 859
global_step=498497, episodic_return=[-229.95762891]
global_step=499498, episodic_return=[114.98172003]
SPS: 859
global_step=500499, episodic_return=[-172.00129548]
global_step=501500, episodic_return=[50.62264702]
SPS: 859
global_step=502501, episodic_return=[126.91225166]
global_step=503502, episodic_return=[-115.80967903]
SPS: 859
global_step=504503, episodic_return=[25.52007297]
global_step=505504, episodic_return=[169.37810993]
SPS: 859
global_step=506505, episodic_return=[96.13596421]
global_step=507506, episodic_return=[157.05340085]
SPS: 859
global_step=508507, episodic_return=[82.75293259]
global_step=509508, episodic_return=[144.89060528]
SPS: 859
global_step=510509, episodic_return=[107.02993783]
global_step=511510, episodic_return=[201.45075016]
SPS: 859
global_step=512511, episodic_return=[146.18245087]
global_step=513512, episodic_return=[-86.68820628]
SPS: 859
global_step=514513, episodic_return=[104.32400226]
global_step=515514, episodic_return=[179.17901878]
SPS: 859
global_step=516515, episodic_return=[15.3997132]
global_step=517516, episodic_return=[127.09500469]
SPS: 859
global_step=518517, episodic_return=[25.31529351]
global_step=519518, episodic_return=[38.79004091]
SPS: 859
global_step=520519, episodic_return=[-8.38547086]
global_step=521520, episodic_return=[-226.28438958]
SPS: 859
global_step=522521, episodic_return=[201.0770553]
global_step=523522, episodic_return=[-371.28267371]
SPS: 859
global_step=524523, episodic_return=[165.57124673]
global_step=525524, episodic_return=[109.47367857]
SPS: 859
global_step=526525, episodic_return=[180.71244938]
global_step=527526, episodic_return=[136.27951935]
SPS: 859
global_step=528527, episodic_return=[11.38921137]
global_step=529528, episodic_return=[120.94370905]
SPS: 859
global_step=530529, episodic_return=[-4.58264169]
global_step=531530, episodic_return=[13.74496957]
SPS: 859
global_step=532531, episodic_return=[-14.0174136]
global_step=533532, episodic_return=[58.56411453]
SPS: 859
global_step=534533, episodic_return=[136.25078521]
global_step=535534, episodic_return=[19.9466752]
global_step=536535, episodic_return=[-62.99615639]
SPS: 859
global_step=537536, episodic_return=[17.84486488]
global_step=538537, episodic_return=[57.83186627]
SPS: 859
global_step=539538, episodic_return=[-53.36962586]
global_step=540539, episodic_return=[-59.76609066]
SPS: 859
global_step=541540, episodic_return=[117.02175161]
