/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=415414, episodic_return=[931.96098511]
SPS: 805
global_step=416415, episodic_return=[970.11498631]
global_step=417416, episodic_return=[869.79578182]
SPS: 805
global_step=418417, episodic_return=[-242.49643638]
global_step=419418, episodic_return=[876.75027305]
SPS: 805
global_step=420419, episodic_return=[915.47736951]
global_step=421420, episodic_return=[902.8037563]
SPS: 805
global_step=422421, episodic_return=[980.04774893]
global_step=423422, episodic_return=[894.93083213]
SPS: 805
global_step=424423, episodic_return=[959.4363672]
global_step=425424, episodic_return=[943.51133978]
SPS: 805
global_step=426425, episodic_return=[-405.07346111]
global_step=427426, episodic_return=[949.3420646]
SPS: 805
global_step=428427, episodic_return=[989.53290676]
global_step=429428, episodic_return=[948.2739747]
SPS: 805
global_step=430429, episodic_return=[912.34798863]
global_step=431430, episodic_return=[894.3379476]
SPS: 805
global_step=432431, episodic_return=[888.1617299]
global_step=433432, episodic_return=[929.63537075]
SPS: 805
global_step=434433, episodic_return=[919.89972328]
global_step=435434, episodic_return=[918.04438314]
SPS: 806
global_step=436435, episodic_return=[917.08298846]
global_step=437436, episodic_return=[908.55073503]
SPS: 806
global_step=438437, episodic_return=[914.84612257]
global_step=439438, episodic_return=[878.87859053]
SPS: 806
global_step=440439, episodic_return=[-347.0094348]
global_step=441440, episodic_return=[927.21326304]
SPS: 806
global_step=442441, episodic_return=[870.11466831]
global_step=443442, episodic_return=[785.56040823]
SPS: 806
global_step=444443, episodic_return=[970.95848684]
global_step=445444, episodic_return=[917.4271988]
global_step=446445, episodic_return=[965.02448415]
SPS: 807
global_step=447446, episodic_return=[908.15938558]
global_step=448447, episodic_return=[959.0881926]
SPS: 807
global_step=449448, episodic_return=[897.25389998]
global_step=450449, episodic_return=[983.85833909]
SPS: 807
global_step=451450, episodic_return=[828.75628992]
global_step=452451, episodic_return=[915.35989363]
SPS: 807
global_step=453452, episodic_return=[894.73733964]
global_step=454453, episodic_return=[867.99709459]
SPS: 807
global_step=455454, episodic_return=[893.02959005]
global_step=456455, episodic_return=[911.21368819]
SPS: 807
global_step=457456, episodic_return=[-383.29895223]
global_step=458457, episodic_return=[912.37631742]
SPS: 808
global_step=459458, episodic_return=[960.58996601]
global_step=460459, episodic_return=[959.50803658]
SPS: 808
global_step=461460, episodic_return=[957.23049324]
global_step=462461, episodic_return=[932.30498456]
SPS: 808
global_step=463462, episodic_return=[902.42197998]
global_step=464463, episodic_return=[924.79610658]
SPS: 808
global_step=465464, episodic_return=[891.25163969]
global_step=466465, episodic_return=[900.68862483]
SPS: 808
global_step=467466, episodic_return=[959.58932532]
global_step=468467, episodic_return=[955.51916028]
SPS: 808
global_step=469468, episodic_return=[900.58075818]
global_step=470469, episodic_return=[911.93733516]
SPS: 809
global_step=471470, episodic_return=[967.26132403]
global_step=472471, episodic_return=[1033.06941325]
SPS: 809
global_step=473472, episodic_return=[957.91562365]
global_step=474473, episodic_return=[964.79807824]
SPS: 809
global_step=475474, episodic_return=[1007.24710108]
global_step=476475, episodic_return=[923.05024829]
SPS: 809
global_step=477476, episodic_return=[925.18068835]
global_step=478477, episodic_return=[1021.02798718]
SPS: 809
global_step=479478, episodic_return=[989.53116277]
global_step=480479, episodic_return=[904.66403787]
SPS: 810
global_step=481480, episodic_return=[994.20901332]
global_step=482481, episodic_return=[863.17763174]
SPS: 810
global_step=483482, episodic_return=[978.48502721]
global_step=484483, episodic_return=[903.72426993]
SPS: 810
global_step=485484, episodic_return=[965.90575309]
global_step=486485, episodic_return=[943.0704881]
SPS: 810
global_step=487486, episodic_return=[959.65227402]
global_step=488487, episodic_return=[1004.63346095]
SPS: 810
global_step=489488, episodic_return=[912.07272281]
global_step=490489, episodic_return=[917.7159094]
global_step=491490, episodic_return=[946.07800684]
SPS: 810
global_step=492491, episodic_return=[938.76467353]
global_step=493492, episodic_return=[977.34758232]
SPS: 811
global_step=494493, episodic_return=[919.16621688]
global_step=495494, episodic_return=[957.23696478]
SPS: 811
global_step=496495, episodic_return=[985.5248744]
global_step=497496, episodic_return=[955.1199676]
SPS: 811
global_step=498497, episodic_return=[1008.06126291]
global_step=499498, episodic_return=[944.30390473]
SPS: 811
global_step=500499, episodic_return=[966.05383026]
global_step=501500, episodic_return=[953.30523636]
SPS: 811
global_step=502501, episodic_return=[965.92709439]
global_step=503502, episodic_return=[934.66564756]
SPS: 811
global_step=504503, episodic_return=[951.4665416]
global_step=505504, episodic_return=[951.89837229]
SPS: 812
