/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=451450, episodic_return=[-87.92934573]
global_step=452451, episodic_return=[-116.4680382]
SPS: 735
global_step=453452, episodic_return=[-134.25488072]
global_step=454453, episodic_return=[-121.25914674]
SPS: 735
global_step=455454, episodic_return=[-130.3191238]
global_step=456455, episodic_return=[-169.30839392]
SPS: 735
global_step=457456, episodic_return=[-77.94699747]
global_step=458457, episodic_return=[-182.99435612]
SPS: 735
global_step=459458, episodic_return=[-29.4201041]
global_step=460459, episodic_return=[-95.25332971]
SPS: 735
global_step=461460, episodic_return=[-77.93061192]
global_step=462461, episodic_return=[-115.73844974]
SPS: 735
global_step=463462, episodic_return=[-135.5510915]
global_step=464463, episodic_return=[-101.65882378]
SPS: 735
global_step=465464, episodic_return=[-163.97146778]
global_step=466465, episodic_return=[-188.49928584]
SPS: 735
global_step=467466, episodic_return=[-95.43912114]
global_step=468467, episodic_return=[-155.47604044]
SPS: 735
global_step=469468, episodic_return=[-140.55315177]
global_step=470469, episodic_return=[-61.85273715]
SPS: 735
global_step=471470, episodic_return=[-169.52363234]
global_step=472471, episodic_return=[-150.02640393]
SPS: 735
global_step=473472, episodic_return=[-74.29763872]
global_step=474473, episodic_return=[-51.24798923]
SPS: 735
global_step=475474, episodic_return=[-127.36010537]
global_step=476475, episodic_return=[-93.04800177]
SPS: 735
global_step=477476, episodic_return=[-159.47617498]
global_step=478477, episodic_return=[-27.64493366]
SPS: 735
global_step=479478, episodic_return=[-44.10759012]
global_step=480479, episodic_return=[-256.41447582]
SPS: 735
global_step=481480, episodic_return=[-124.69588522]
global_step=482481, episodic_return=[-79.11078968]
SPS: 735
global_step=483482, episodic_return=[-147.78947696]
global_step=484483, episodic_return=[-54.27047439]
SPS: 735
global_step=485484, episodic_return=[-72.02358963]
global_step=486485, episodic_return=[-106.74105838]
SPS: 735
global_step=487486, episodic_return=[-73.82014856]
global_step=488487, episodic_return=[-35.83380613]
SPS: 735
global_step=489488, episodic_return=[-134.52233451]
global_step=490489, episodic_return=[-18.96721839]
global_step=491490, episodic_return=[-79.29128235]
SPS: 735
global_step=492491, episodic_return=[-30.1985033]
global_step=493492, episodic_return=[-30.69589461]
SPS: 735
global_step=494493, episodic_return=[-67.7497463]
global_step=495494, episodic_return=[-64.4819785]
SPS: 735
global_step=496495, episodic_return=[17.57424742]
global_step=497496, episodic_return=[4.97222421]
SPS: 735
global_step=498497, episodic_return=[-59.77205528]
global_step=499498, episodic_return=[-34.53082379]
SPS: 735
global_step=500499, episodic_return=[-17.40939859]
global_step=501500, episodic_return=[44.40576715]
SPS: 735
global_step=502501, episodic_return=[-22.12480985]
global_step=503502, episodic_return=[-36.30380126]
SPS: 735
global_step=504503, episodic_return=[-26.96372513]
global_step=505504, episodic_return=[-39.37590423]
SPS: 735
global_step=506505, episodic_return=[-71.99738398]
global_step=507506, episodic_return=[16.76690712]
SPS: 735
global_step=508507, episodic_return=[-16.09493549]
global_step=509508, episodic_return=[93.21116837]
SPS: 735
global_step=510509, episodic_return=[6.45477937]
global_step=511510, episodic_return=[25.25126195]
SPS: 735
global_step=512511, episodic_return=[-0.5296678]
global_step=513512, episodic_return=[16.51514087]
SPS: 735
global_step=514513, episodic_return=[77.88001822]
global_step=515514, episodic_return=[61.1238587]
SPS: 735
global_step=516515, episodic_return=[74.13987644]
global_step=517516, episodic_return=[30.74402703]
SPS: 736
global_step=518517, episodic_return=[-28.55539413]
global_step=519518, episodic_return=[72.3049946]
SPS: 736
global_step=520519, episodic_return=[82.12538332]
global_step=521520, episodic_return=[-20.26509712]
SPS: 736
global_step=522521, episodic_return=[-103.27803716]
global_step=523522, episodic_return=[64.4951224]
SPS: 736
global_step=524523, episodic_return=[82.31341893]
global_step=525524, episodic_return=[-343.11546702]
SPS: 736
global_step=526525, episodic_return=[2.12881403]
global_step=527526, episodic_return=[-14.94409195]
SPS: 736
global_step=528527, episodic_return=[51.45233575]
global_step=529528, episodic_return=[97.54103679]
