/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=354353, episodic_return=[-308.14186147]
global_step=355354, episodic_return=[-372.80181274]
SPS: 776
global_step=356355, episodic_return=[-312.48460471]
global_step=357356, episodic_return=[-319.86904122]
global_step=358357, episodic_return=[-249.1537357]
SPS: 776
global_step=359358, episodic_return=[-381.74219059]
global_step=360359, episodic_return=[-392.62931487]
SPS: 776
global_step=361360, episodic_return=[-417.79663538]
global_step=362361, episodic_return=[-359.97180057]
SPS: 776
global_step=363362, episodic_return=[-263.5889019]
global_step=364363, episodic_return=[-348.98613011]
SPS: 776
global_step=365364, episodic_return=[-238.09263484]
global_step=366365, episodic_return=[-353.54033853]
SPS: 776
global_step=367366, episodic_return=[-294.37588783]
global_step=368367, episodic_return=[-303.83459563]
SPS: 777
global_step=369368, episodic_return=[-352.69029583]
global_step=370369, episodic_return=[-488.92142316]
SPS: 777
global_step=371370, episodic_return=[-370.79993207]
global_step=372371, episodic_return=[-392.83200102]
SPS: 777
global_step=373372, episodic_return=[-269.45275931]
global_step=374373, episodic_return=[-353.23783395]
SPS: 777
global_step=375374, episodic_return=[-342.56914969]
global_step=376375, episodic_return=[-81.16604721]
SPS: 777
global_step=377376, episodic_return=[-397.2866173]
global_step=378377, episodic_return=[-389.07133955]
SPS: 777
global_step=379378, episodic_return=[-422.35583742]
global_step=380379, episodic_return=[-401.28645624]
SPS: 777
global_step=381380, episodic_return=[-343.73325579]
global_step=382381, episodic_return=[-412.44780021]
SPS: 777
global_step=383382, episodic_return=[-303.46521596]
global_step=384383, episodic_return=[-243.48289494]
SPS: 777
global_step=385384, episodic_return=[-337.9019694]
global_step=386385, episodic_return=[-168.95485708]
SPS: 777
global_step=387386, episodic_return=[-343.84833698]
global_step=388387, episodic_return=[-311.93394866]
SPS: 777
global_step=389388, episodic_return=[-374.65250313]
global_step=390389, episodic_return=[-265.36350615]
SPS: 777
global_step=391390, episodic_return=[-284.7418583]
global_step=392391, episodic_return=[-421.63919049]
SPS: 777
global_step=393392, episodic_return=[-355.83777254]
global_step=394393, episodic_return=[-290.21739056]
SPS: 777
global_step=395394, episodic_return=[-463.05692592]
global_step=396395, episodic_return=[-247.42249491]
SPS: 777
global_step=397396, episodic_return=[-393.86795396]
global_step=398397, episodic_return=[-196.40730605]
SPS: 777
global_step=399398, episodic_return=[-406.49969461]
global_step=400399, episodic_return=[-341.70115275]
global_step=401400, episodic_return=[-427.67218329]
SPS: 777
global_step=402401, episodic_return=[-434.0434066]
global_step=403402, episodic_return=[-393.3710704]
SPS: 777
global_step=404403, episodic_return=[-71.64654682]
global_step=405404, episodic_return=[-405.25218251]
SPS: 777
global_step=406405, episodic_return=[-195.46701884]
global_step=407406, episodic_return=[-339.70975364]
SPS: 777
global_step=408407, episodic_return=[-287.85056989]
global_step=409408, episodic_return=[-327.67204875]
SPS: 777
global_step=410409, episodic_return=[-337.69796492]
global_step=411410, episodic_return=[-330.47364364]
SPS: 777
global_step=412411, episodic_return=[-461.53284237]
global_step=413412, episodic_return=[-533.36906813]
SPS: 777
global_step=414413, episodic_return=[-209.18184151]
global_step=415414, episodic_return=[-327.23239536]
SPS: 777
global_step=416415, episodic_return=[-300.00860441]
global_step=417416, episodic_return=[-281.15492149]
SPS: 777
